,Representative,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party,last_modified,return_after_trade
999,Markwayne Mullin,2023-10-12,2023-09-13,COP,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2023-10-13,3.0963586665851923
988,Markwayne Mullin,2023-10-12,2023-09-18,COST,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2023-10-13,0.5427644470503971
989,Markwayne Mullin,2023-10-12,2023-09-13,FI,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2023-10-13,-0.17749107889645696
990,Markwayne Mullin,2023-10-12,2023-09-13,NVDA,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2023-10-13,-3.1611516603655296
991,Markwayne Mullin,2023-10-12,2023-09-13,NKE,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2023-10-13,0.6649910953243073
992,Markwayne Mullin,2023-10-12,2023-09-13,GS,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2023-10-13,-0.17751115046391938
998,Markwayne Mullin,2023-10-12,2023-09-13,GOOGL,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2023-10-13,-1.158523851341603
994,Markwayne Mullin,2023-10-12,2023-09-13,SBUX,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2023-10-13,0.06563682912943282
995,Markwayne Mullin,2023-10-12,2023-09-13,SHW,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2023-10-13,-0.8551832096105556
996,Markwayne Mullin,2023-10-12,2023-09-13,TXN,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2023-10-13,-1.4516129032258065
997,Markwayne Mullin,2023-10-12,2023-09-13,MA,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2023-10-13,-0.46761569035471284
993,Markwayne Mullin,2023-10-12,2023-09-13,LRCX,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2023-10-13,-1.5023858747640566
974,Tommy Tuberville,2023-10-13,2023-09-28,KR,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2023-10-15,0.0
975,Tommy Tuberville,2023-10-13,2023-09-20,CLX,Purchase,"$100,001 - $250,000",Senate,100001.0,R,2023-10-15,0.0
977,Tommy Tuberville,2023-10-13,2023-09-18,TXN,Purchase,"$100,001 - $250,000",Senate,100001.0,R,2023-10-15,0.0
982,Tommy Tuberville,2023-10-13,2023-09-15,KMB,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2023-10-15,0.0
983,Tommy Tuberville,2023-10-13,2023-09-14,CLF,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-10-15,0.0
984,Tommy Tuberville,2023-10-13,2023-09-14,TXN,Purchase,"$50,001 - $100,000",Senate,50001.0,R,2023-10-15,0.0
981,Tommy Tuberville,2023-10-13,2023-09-18,PARA,Purchase,"$50,001 - $100,000",Senate,50001.0,R,2023-10-15,0.0
972,Shelley Moore Capito,2023-10-14,2023-09-22,ACN,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-10-15,0.0
971,Shelley Moore Capito,2023-10-14,2023-09-22,UNH,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-10-15,0.0
970,Shelley Moore Capito,2023-10-14,2023-09-27,SPGI,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-10-15,0.0
954,Sheldon Whitehouse,2023-10-17,2023-09-20,LLY,Purchase,"$15,001 - $50,000",Senate,15001.0,D,2023-10-18,-0.17589836243250045
957,Sheldon Whitehouse,2023-10-17,2023-09-20,NVS,Purchase,"$15,001 - $50,000",Senate,15001.0,D,2023-10-18,-0.4041863387737477
959,Sheldon Whitehouse,2023-10-17,2023-09-20,KVUE,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2023-10-18,1.415565063584232
967,Sheldon Whitehouse,2023-10-17,2023-09-20,TSLA,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2023-10-18,-4.775363208267348
958,Sheldon Whitehouse,2023-10-17,2023-09-20,VZ,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2023-10-18,-1.4598571516342151
887,Markwayne Mullin,2023-11-01,2023-10-03,PG,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,1.2231814875937304
896,Markwayne Mullin,2023-11-01,2023-10-03,CSX,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,2.7730798217348216
895,Markwayne Mullin,2023-11-01,2023-10-03,GS,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,2.1487192423581116
894,Markwayne Mullin,2023-11-01,2023-10-03,PANW,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,2.2461814858655544
893,Markwayne Mullin,2023-11-01,2023-10-03,LRCX,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,2.7395999222094995
892,Markwayne Mullin,2023-11-01,2023-10-03,UNP,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,1.8452504702759431
891,Markwayne Mullin,2023-11-01,2023-10-03,AAPL,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,2.0693257908003106
890,Markwayne Mullin,2023-11-01,2023-10-03,NKE,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,4.163367061842794
889,Markwayne Mullin,2023-11-01,2023-10-03,TXN,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,2.891666859395431
888,Markwayne Mullin,2023-11-01,2023-10-03,MSFT,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,0.6501574688303073
886,Markwayne Mullin,2023-11-01,2023-10-03,ABT,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,0.9998915134009054
876,Markwayne Mullin,2023-11-01,2023-10-03,ADBE,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,2.609737736025023
884,Markwayne Mullin,2023-11-01,2023-10-03,BLK,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,4.5893392274255564
883,Markwayne Mullin,2023-11-01,2023-10-03,AMAT,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,2.3800734573864264
882,Markwayne Mullin,2023-11-01,2023-10-03,SHW,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,2.6830202016886027
881,Markwayne Mullin,2023-11-01,2023-10-03,ELV,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,1.085838459622763
880,Markwayne Mullin,2023-11-01,2023-10-03,NVDA,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,2.7903124769270526
879,Markwayne Mullin,2023-11-01,2023-10-03,AZO,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,2.2202435231012307
878,Markwayne Mullin,2023-11-01,2023-10-03,EMR,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,1.7297210592572627
877,Markwayne Mullin,2023-11-01,2023-10-03,COST,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,-0.1490691645187984
897,Markwayne Mullin,2023-11-01,2023-10-03,BSX,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,1.6647321194187807
875,Markwayne Mullin,2023-11-01,2023-10-03,GOOGL,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,0.8224602140188515
874,Markwayne Mullin,2023-11-01,2023-10-03,DE,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,0.8340746424026371
885,Markwayne Mullin,2023-11-01,2023-10-03,COP,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,4.585582033158145
899,Markwayne Mullin,2023-11-01,2023-10-03,PEP,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,1.1888195377661288
898,Markwayne Mullin,2023-11-01,2023-10-03,HLT,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,0.9858996799016523
901,Markwayne Mullin,2023-11-01,2023-10-03,AXP,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,3.0044446889462706
926,Markwayne Mullin,2023-11-01,2023-10-03,AMD,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,-0.1943716056026759
925,Markwayne Mullin,2023-11-01,2023-10-03,TMO,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2023-11-02,1.4644923459412609
900,Markwayne Mullin,2023-11-01,2023-10-03,MA,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,1.2889722679530864
923,Markwayne Mullin,2023-11-01,2023-10-03,BRK.B,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,0.0
922,Markwayne Mullin,2023-11-01,2023-10-03,META,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,-0.31425716438909407
921,Markwayne Mullin,2023-11-01,2023-10-03,EW,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,2.66331959811272
920,Markwayne Mullin,2023-11-01,2023-10-03,SPGI,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,6.9778087527437815
919,Markwayne Mullin,2023-11-01,2023-10-03,RTX,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2023-11-02,0.7668864780477295
