Representative,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party,last_modified
Tommy Tuberville,2024-03-15,2024-02-27,SSBK,Purchase,"$50,001 - $100,000",Senate,50001.0,R,2024-03-15
Tommy Tuberville,2024-03-15,2024-02-27,SBLK,Purchase,"$50,001 - $100,000",Senate,50001.0,R,2024-03-15
Tommy Tuberville,2024-03-15,2024-02-27,QCOM,Sale (Full),"$15,001 - $50,000",Senate,15001.0,R,2024-03-15
Tommy Tuberville,2024-03-15,2024-02-27,PFE,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-03-15
Tommy Tuberville,2024-03-15,2024-02-27,GOGL,Purchase,"$50,001 - $100,000",Senate,50001.0,R,2024-03-15
Tommy Tuberville,2024-03-15,2024-02-16,AMAT,Sale (Full),"$15,001 - $50,000",Senate,15001.0,R,2024-03-15
Tommy Tuberville,2024-03-15,2024-02-12,KEY,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-03-15
Tommy Tuberville,2024-03-15,2024-02-12,HUMA,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2024-03-15
Shelley Moore Capito,2024-03-15,2024-02-27,ZTS,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2024-03-15
Shelley Moore Capito,2024-03-15,2024-02-23,SBUX,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2024-03-15
Shelley Moore Capito,2024-03-15,2024-02-15,BDX,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-03-15
Shelley Moore Capito,2024-03-15,2024-02-09,MDT,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-03-15
Mark Dr Green,2024-03-13,2024-03-11,NGL,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2024-03-14
William R. Keating,2024-03-12,2024-02-28,URI,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-13
William R. Keating,2024-03-12,2024-02-28,BA,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-13
William R. Keating,2024-03-12,2024-02-28,TDG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-13
Michael Patrick Guest,2024-03-12,2024-02-20,NVDA,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-13
Kevin Hern,2024-03-12,2024-02-20,ACN,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-13
Kevin Hern,2024-03-12,2024-02-15,MMC,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-13
Earl Blumenauer,2024-03-12,2024-02-15,NWN,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-13
Kevin Hern,2024-03-12,2024-02-14,OKE,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-13
Kevin Hern,2024-03-12,2024-02-14,OKE,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-13
