,Representative,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party,last_modified,return_after_trade
0,Tommy Tuberville,2024-03-15,2024-02-27,SSBK,Purchase,"$50,001 - $100,000",Senate,50001.0,R,2024-03-15,0.0
1,Tommy Tuberville,2024-03-15,2024-02-27,SBLK,Purchase,"$50,001 - $100,000",Senate,50001.0,R,2024-03-15,0.0
2,Tommy Tuberville,2024-03-15,2024-02-27,QCOM,Sale (Full),"$15,001 - $50,000",Senate,15001.0,R,2024-03-15,0.0
3,Tommy Tuberville,2024-03-15,2024-02-27,PFE,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-03-15,0.0
4,Tommy Tuberville,2024-03-15,2024-02-27,GOGL,Purchase,"$50,001 - $100,000",Senate,50001.0,R,2024-03-15,0.0
5,Tommy Tuberville,2024-03-15,2024-02-16,AMAT,Sale (Full),"$15,001 - $50,000",Senate,15001.0,R,2024-03-15,0.0
6,Tommy Tuberville,2024-03-15,2024-02-12,KEY,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-03-15,0.0
7,Tommy Tuberville,2024-03-15,2024-02-12,HUMA,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2024-03-15,0.0
8,Shelley Moore Capito,2024-03-15,2024-02-27,ZTS,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2024-03-15,0.0
9,Shelley Moore Capito,2024-03-15,2024-02-23,SBUX,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2024-03-15,0.0
10,Shelley Moore Capito,2024-03-15,2024-02-15,BDX,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-03-15,0.0
11,Shelley Moore Capito,2024-03-15,2024-02-09,MDT,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-03-15,0.0
12,Mark Dr Green,2024-03-13,2024-03-11,NGL,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2024-03-14,1.7064829753270954
13,William R. Keating,2024-03-12,2024-02-28,URI,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-13,-1.0451668656324782
14,William R. Keating,2024-03-12,2024-02-28,BA,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-13,-1.0258355043951424
15,William R. Keating,2024-03-12,2024-02-28,TDG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-13,0.36090873476519936
16,Michael Patrick Guest,2024-03-12,2024-02-20,NVDA,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-13,-1.115185005989099
17,Kevin Hern,2024-03-12,2024-02-20,ACN,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-13,-0.4625761445555264
18,Kevin Hern,2024-03-12,2024-02-15,MMC,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-13,0.2652460944197797
19,Earl Blumenauer,2024-03-12,2024-02-15,NWN,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-13,-2.040817564552858
20,Kevin Hern,2024-03-12,2024-02-14,OKE,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-13,-0.6825483179420659
21,Kevin Hern,2024-03-12,2024-02-14,OKE,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-13,-0.6825483179420659
22,Kevin Hern,2024-03-12,2024-02-13,TXN,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-13,-1.2128205600481787
23,Kevin Hern,2024-03-12,2024-02-13,TXN,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-13,-1.2128205600481787
24,Suzan K. Delbene,2024-03-08,2024-02-29,MSFT,Sale,"$100,001 - $250,000",Representatives,100001.0,D,2024-03-11,0.0
25,Josh Gottheimer,2024-03-07,2024-02-29,FCX,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-03-08,0.10046998103575208
26,Pete Sessions,2024-03-07,2024-02-29,V,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-03-08,0.6396890378880337
